#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments
76357;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;20 a1 07 00 ; ¡..;4;;COM7;
76359;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;...;3;;COM7;
76361;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;1a 00 00 1a 11 13 ;......;6;;COM7;
76363;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 10 00 00 00 10 00 00 ;................;16;;COM7;
76365;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);UP;STATUS_SUCCESS;;;;;COM7;
76367;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);UP;STATUS_SUCCESS;;;;;COM7;
76369;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;;;;COM7;
76371;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);UP;STATUS_SUCCESS;;;;;COM7;
76373;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);UP;STATUS_SUCCESS;;;;;COM7;
76375;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);UP;STATUS_SUCCESS;;;;;COM7;
76377;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;;;;COM7;
76379;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_TIMEOUTS);UP;STATUS_SUCCESS;;;;;COM7;
76381;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_WAIT_MASK);UP;STATUS_SUCCESS;;;;;COM7;
76383;13:53:22;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_QUEUE_SIZE);UP;STATUS_SUCCESS;;;;;COM7;
76387;13:53:22;IRP_MJ_WRITE;DOWN;;55 aa 5a 0d 00 ;UªZ..;5;5;COM7;
76388;13:53:22;IRP_MJ_WRITE;UP;STATUS_SUCCESS;55 aa 5a 0d 00 ;UªZ..;5;;COM7;
76389;13:53:23;IRP_MJ_WRITE;DOWN;;90 38 1e bd a0 b4 e5 05 22 78 cb 1e bc ;"8.½ ´å.""xË.¼";13;13;COM7;
76390;13:53:23;IRP_MJ_WRITE;UP;STATUS_SUCCESS;90 38 1e bd a0 b4 e5 05 22 78 cb 1e bc ;"8.½ ´å.""xË.¼";13;;COM7;
